api-bulk-endpoint-optimization	api-optimize-bulk
out-of-band-cache-warm	cache-warm-oob
ci-workflow-trigger-security	ci-audit-triggers
ci-lint-config-drift	ci-diagnose-drift
secure-comment-triggered-workflow	ci-harden-workflow
reproduce-gated-ci-failure-locally	ci-reproduce-failure
cli-help-before-dependency-checks	cli-audit-help
code-quality	code-audit
refactor-go	go-refactor
refactor-node	node-refactor
sync-configs	config-audit
debug-layered-config-substitution	config-debug-substitution
app-native-config-validation	config-validate-native
ingestion-table-idempotency	data-design-ingestion
live-data-validation	data-validate-live
wire-new-field-end-to-end	data-wire-field
deploy-drift-root-cause	deploy-diagnose-drift
retire-component-cleanup	deploy-retire-component
research-validate-design	design-validate
docker-published-port-firewall-audit	docker-audit-firewall
containerized-internal-service-probe	docker-probe-internal
docs-diagrams	docs-generate-diagrams
docs-readme	docs-improve-readme
health-check	env-check
project-commit	git-commit
locate-missing-artifact-across-git	git-find-artifact
auto-issue-dev	issue-dev-auto
auto-dev-issue-prep	issue-prep-auto
commit-issue-sync	issue-sync-commit
pr-issue-sync	issue-sync-pr
learning-loop	learning-capture
lifecycle	lifecycle-run
llm-output-path-traversal-audit	llm-audit-traversal
headless-llm-cli-seam	llm-invoke-stdin
mcp-server-security-audit	mcp-audit
memory-log-compress	memory-compress
session-memory-compress	memory-compress
dashboard	metrics-report
address-pr-comments	pr-address-comments
clean-pr-from-stale-base	pr-clean-base
merge-stacked-pr-chain	pr-merge-stacked
post-pr-review-monitor	pr-monitor
reset-reapply-clean-pr	pr-reset-reapply
pr-regression-smoke	pr-smoke
bot-pr-triage	pr-triage-bots
triage-bot-pr-flood	pr-triage-bots
verify-premise	premise-verify
diagnose-stalled-background-process	process-diagnose-stall
scaffold	project-scaffold
verify	project-verify
meta-prompt-optimize	prompt-optimize
refactor-python	python-refactor
repo-hygiene	repo-clean
secret-safe-upstream-proxy	security-harden-proxy
security-finding-refutation	security-refute-findings
diff-security-review	security-review-diff
security-finding-triage	security-triage-findings
checkpoint	session-checkpoint
shell-sete-silent-abort-audit	shell-audit-errexit
shell-pipefail-subshell-audit	shell-audit-pipefail
refactor-shell	shell-refactor
smoke-orchestrator	smoke-manage
architecture-decision-tradeoff-table	spec-decide-tradeoffs
speckit-implement-review	speckit-audit-tasks
refactor-terraform	terraform-refactor
pin-known-bug-test-survives-fix	test-pin-bug
statistical-test-fixture-variance	test-vary-fixtures
token-economy	token-conserve
